Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:3.1.3.87	310.870448213382	-1.2357775102098	0.399792823805261	30.9920892372225	1.86274467607321e-07	3.80787998204965e-06	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
EC:1.2.7.8	12136.3182149873	-0.22751763381664	0.0746409516853423	30.7508696243525	2.10151988725905e-07	4.25507740982165e-06	Indolepyruvate ferredoxin oxidoreductase
EC:6.1.1.24	381.621818006291	-0.862463318400131	0.292016675260616	30.3543997781935	2.5622755794078e-07	5.13905460549148e-06	Glutamate--tRNA(Gln) ligase
EC:3.1.26.8	314.330630919282	-1.37994320386388	0.399623061955565	30.1834466079042	2.79092294839729e-07	5.54532914793705e-06	Ribonuclease M5
EC:1.97.1.4	5271.75819558105	0.42480681880248	0.132906720316282	29.8397369416867	3.31423616773515e-07	6.52413527093049e-06	[Formate-C-acetyltransferase]-activating enzyme
EC:2.1.1.172	2670.90918446132	-0.138410757981445	0.0978298788155358	29.6663313429171	3.61441486521975e-07	6.98567818496108e-06	16S rRNA (guanine(1207)-N(2))-methyltransferase
EC:3.2.1.93	301.376323520496	-1.39731718657844	0.408838583129605	29.67116333717	3.60569298954742e-07	6.98567818496108e-06	Alpha,alpha-phosphotrehalase
EC:2.7.1.4	17444.7099791455	-0.136045856638348	0.0343149707495514	29.6258119016427	3.68838871518826e-07	7.06442739503625e-06	Fructokinase
EC:3.6.3.54	24584.6230650981	-0.0602754902722151	0.0250591733422427	29.5987781981163	3.73858258603076e-07	7.09663087312625e-06	Cu(+) exporting ATPase
EC:3.4.24.15	2921.48592778589	-0.367053269305493	0.117139682196318	29.328720737064	4.27906822916324e-07	8.0507071284965e-06	Thimet oligopeptidase
EC:3.1.1.75	8790.05840087309	-0.370147846502122	0.0955446216663573	29.2837015095778	4.37648064706808e-07	8.16175250497082e-06	Poly(3-hydroxybutyrate) depolymerase
EC:3.1.11.2	32005.4284683743	-0.0769354162643223	0.0269515394032084	29.134064526128	4.71648296774241e-07	8.71934155601771e-06	Exodeoxyribonuclease III
EC:1.8.1.4	44138.3884411252	-0.0133337500639312	0.013048914345682	29.0074826689485	5.0246425469724e-07	9.20895694384768e-06	Dihydrolipoyl dehydrogenase
EC:3.4.24.71	2145.75139674504	-0.520161967975064	0.1174907358346	28.9617099570742	5.14096431823101e-07	9.34161550475139e-06	Endothelin-converting enzyme 1
EC:2.4.1.10	228.166455283457	0.114569651319606	0.455503765016835	28.9204596625843	5.24809849551629e-07	9.45547237412512e-06	Levansucrase
EC:1.2.1.24	111.293704309813	0.264249927495856	0.5258146475317	28.8894170475799	5.33019129175265e-07	9.52267788761859e-06	Succinate-semialdehyde dehydrogenase (NAD(+))
EC:1.13.12.16	24182.8358176181	-0.145924088466047	0.0409813914536664	28.8520524280127	5.43070759142287e-07	9.62140361613752e-06	Nitronate monooxygenase
EC:6.4.1.4	20495.9494886588	-0.179624935917375	0.0533944966659623	28.7861386269659	5.61266885127429e-07	9.86159832876788e-06	Methylcrotonoyl-CoA carboxylase
EC:3.1.27.1	3807.28741677951	-0.444248130281648	0.0980299957869042	28.7453772635662	5.72823250147107e-07	9.98214942469468e-06	Ribonuclease T(2)
EC:2.7.7.13	21789.4360942035	0.0914748946306609	0.0231139355973617	28.7283895326164	5.77709455784902e-07	9.98544961787562e-06	Mannose-1-phosphate guanylyltransferase
EC:1.14.12.17	5336.47436651045	0.118728497484694	0.057657115987397	28.339019472062	7.01875544250029e-07	1.20337694118997e-05	Nitric oxide dioxygenase
EC:3.1.1.17	11019.4066984172	-0.259340187081473	0.0537030247367478	28.1986300395261	7.52913853733866e-07	1.28055588243056e-05	Gluconolactonase
EC:1.6.5.5	46066.6661572454	-0.0251444790645935	0.0269812866937551	28.1575913876591	7.68522732672422e-07	1.29672962671553e-05	NADPH:quinone reductase
EC:4.3.1.12	16299.7625392262	-0.113132387370966	0.0527532157701567	28.1265746002218	7.80534184213423e-07	1.30662651625019e-05	Ornithine cyclodeaminase
EC:2.7.7.59	14085.440563159	-0.0579782512185444	0.0270980650801293	28.0663103608679	8.04411260563876e-07	1.33607682809281e-05	[Protein-PII] uridylyltransferase
EC:3.2.1.31	1300.69471306126	-0.757840873631287	0.170911280696087	27.9237254455676	8.63853430823209e-07	1.42368402630244e-05	Beta-glucuronidase
EC:1.7.1.15	25715.553337557	-0.0888200924192474	0.0332829520585617	27.8301791426695	9.05218422684166e-07	1.48038028202041e-05	Nitrite reductase (NADH)
EC:4.2.1.12	8342.10184374887	-0.255047957384844	0.0795557659936729	27.7971558049028	9.20289168731098e-07	1.49353799444451e-05	Phosphogluconate dehydratase
EC:3.4.21.116	321.037829488418	-1.3439439854763	0.409230941663559	27.7664385045071	9.34532668632543e-07	1.49384695752841e-05	SpoIVB peptidase
EC:4.2.1.153	3590.54927757113	-0.101941520872721	0.0718436630273879	27.7743520105678	9.30842259497439e-07	1.49384695752841e-05	3-methylfumaryl-CoA hydratase
EC:4.2.1.9	32069.9798224826	-0.0907754755494896	0.0281338289590777	27.5953587508392	1.01799110721466e-06	1.61511126413311e-05	Dihydroxy-acid dehydratase
EC:2.7.14.1	411.139271385302	-0.611344261843469	0.358905649565543	27.4547548427396	1.09213351528631e-06	1.71990803962867e-05	Protein arginine kinase
EC:3.4.24.78	317.833904948804	-1.35279769133822	0.406881413785798	27.3129866124885	1.17235817170123e-06	1.8326716713506e-05	GPR endopeptidase
EC:3.4.24.84	8619.494078965	-0.123106105843295	0.0667628806009865	27.1305993139241	1.28429624749327e-06	1.99300278990562e-05	Ste24 endopeptidase
EC:4.2.1.18	12747.4099397579	-0.0992795587872356	0.0501844212138868	27.0937343144103	1.30818855881297e-06	2.015368750751e-05	Methylglutaconyl-CoA hydratase
EC:2.7.7.42	14300.1057957466	-0.0613983525824834	0.026408517625693	26.841781401155	1.48382002047495e-06	2.25328668823553e-05	[Glutamate--ammonia-ligase] adenylyltransferase
EC:5.4.2.11	14832.2194362379	-0.0636000139035602	0.0285350220653113	26.8541991980376	1.47463567450338e-06	2.25328668823553e-05	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)
EC:2.6.1.17	17600.694008011	-0.102355857150743	0.035564656877088	26.684277097805	1.60539849469165e-06	2.42062212745706e-05	Succinyldiaminopimelate transaminase
EC:2.7.13.1	4087.12335567418	-0.374201105660477	0.140939923975466	26.6517652557718	1.63170899715902e-06	2.44296713236625e-05	Protein-histidine pros-kinase
EC:1.1.1.60	12478.2096793743	-0.211720718100935	0.0786901085171452	26.4795689263085	1.77842136074352e-06	2.64400266639212e-05	2-hydroxy-3-oxopropionate reductase
EC:1.6.99.1	428.448993386332	0.156970136090094	0.219532164966187	26.4235371281835	1.82894993082961e-06	2.70024135621094e-05	NADPH dehydrogenase
